Projections	Frames	Exposure(ms)
512	1	354.00
Projection	Angle(deg)	Time(s)
1	000.5613	  3.8937669000000001
2	001.2693	  4.2478537999999997
3	001.9617	  4.6018160000000004
4	002.6765	  4.9558464999999998
5	003.3843	  5.3098450000000001
6	004.0767	  5.6638887999999996
7	004.7852	           6.0179342
8	005.4771	  6.3719552999999998
9	006.1921	  6.7259213999999998
10	006.8774	  7.0799485999999998
11	007.5928	  7.4340212000000001
12	008.3008	           7.7879806
13	008.9927	  8.1419688000000008
14	009.7078	  8.4960056999999995
15	010.4163	  8.8500528000000003
16	011.1079	  9.2040594999999996
17	011.8164	  9.5581110999999996
18	012.5085	  9.9120200999999994
19	013.2234	          10.2660953
20	013.9316	          10.6201528
21	014.6238	  10.974105099999999
22	015.3320	          11.3281817
23	016.0239	  11.682137300000001
24	016.7388	  12.036208500000001
25	017.4475	          12.3902225
26	018.1394	          12.7442045
27	018.8477	  13.098300999999999
28	019.5396	          13.4522846
29	020.2546	          13.8063492
30	020.9629	  14.160307599999999
31	021.6548	  14.514290799999999
32	022.3701	  14.868372900000001
33	023.0552	  15.222326600000001
34	023.7705	  15.576367299999999
35	024.4788	  15.930384399999999
36	025.1704	          16.2843746
37	025.8857	  16.638398899999999
38	026.5710	  16.992370000000001
39	027.2856	  17.346480400000001
40	027.9944	  17.700533799999999
41	028.6863	  18.054432599999998
42	029.4014	  18.408456999999999
43	030.0864	          18.7625113
44	030.8015	  19.116569299999998
45	031.5100	  19.470524900000001
46	032.2019	  19.824642099999998
47	032.9168	  20.178556100000002
48	033.6021	  20.532596600000002
49	034.3171	           20.886682
50	035.0254	  21.240704000000001
51	035.7175	          21.5947155
52	036.4326	  21.948792900000001
53	037.1177	  22.302664400000001
54	037.8328	  22.656762499999999
55	038.5413	  23.010694900000001
56	039.2329	          23.3647065
57	039.9480	          23.7186907
58	040.6333	  24.072857800000001
59	041.3481	  24.426795599999998
60	042.0566	  24.780720500000001
61	042.7488	  25.134738899999999
62	043.4639	  25.488818500000001
63	044.1489	          25.8428091
64	044.8640	  26.196905300000001
65	045.5725	  26.550880299999999
66	046.2644	  26.904904500000001
67	046.9795	          27.2588957
68	047.6646	  27.612909699999999
69	048.3796	  27.967036799999999
70	049.0881	  28.320976600000002
71	049.7803	  28.674971299999999
72	050.4946	  29.028981999999999
73	051.1802	          29.3829861
74	051.8953	  29.737058000000001
75	052.6035	  30.090948099999999
76	053.2954	          30.4450474
77	054.0107	  30.799097799999998
78	054.6958	  31.153170299999999
79	055.4109	           31.507106
80	056.1191	  31.861066600000001
